id_indicador,nombre,año,notas
1002000001,Población total,2015,"La información de 2015 corresponde a una estimación de la población total realizada para los ámbitos nacional y entidad federativa con base en la Encuesta Intercensal (EIC) 2015, que permite su comparación con la serie censal. Además de la población residente en viviendas particulares habitadas de la EIC 2015 (119 530 753), incluye una estimación de 407 720 personas en viviendas que no se captaron en dicha encuesta (viviendas colectivas, del Servicio Exterior Mexicano y las que carecen de vivienda). Por esta razón, los datos de 2015 de este indicador no son comparables con los publicados en los productos de la EIC 2015 o con el indicador de Población total en viviendas particulares habitadas."
1002000001,Población total,2010,La información es censal y está referida al 12 de junio de 2010.
1002000001,Población total,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000001,Población total,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000001,Población total,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000002,Población total hombres,2010,La información es censal y está referida al 12 de junio de 2010.
1002000002,Población total hombres,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000002,Población total hombres,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000002,Población total hombres,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000003,Población total mujeres,2010,La información es censal y está referida al 12 de junio de 2010.
1002000003,Población total mujeres,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000003,Población total mujeres,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000003,Población total mujeres,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000004,Porcentaje de población de 15 a 29 años,2015,Corresponde a residentes habituales de viviendas particulares
1002000004,Porcentaje de población de 15 a 29 años,2010,La información es censal y está referida al 12 de junio de 2010.
1002000004,Porcentaje de población de 15 a 29 años,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000004,Porcentaje de población de 15 a 29 años,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000004,Porcentaje de población de 15 a 29 años,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000005,Porcentaje de hombres de 15 a 29 años,2015,Corresponde a residentes habituales de viviendas particulares
1002000005,Porcentaje de hombres de 15 a 29 años,2010,La información es censal y está referida al 12 de junio de 2010.
1002000005,Porcentaje de hombres de 15 a 29 años,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000005,Porcentaje de hombres de 15 a 29 años,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000005,Porcentaje de hombres de 15 a 29 años,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000006,Porcentaje de mujeres de 15 a 29 años,2015,Corresponde a residentes habituales de viviendas particulares
1002000006,Porcentaje de mujeres de 15 a 29 años,2010,La información es censal y está referida al 12 de junio de 2010.
1002000006,Porcentaje de mujeres de 15 a 29 años,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000006,Porcentaje de mujeres de 15 a 29 años,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000006,Porcentaje de mujeres de 15 a 29 años,1995,La información es censal y está referida al 5 de noviembre de 1995.
1002000007,Porcentaje de población de 60 y más años,2015,Corresponde a residentes habituales de viviendas particulares
1002000007,Porcentaje de población de 60 y más años,2010,La información es censal y está referida al 12 de junio de 2010.
1002000007,Porcentaje de población de 60 y más años,2005,La información es censal y está referida al 17 de octubre del 2005.
1002000007,Porcentaje de población de 60 y más años,2000,La información es censal y está referida al 14 de febrero del 2000.
1002000007,Porcentaje de población de 60 y más años,1995,La información es censal y está referida al 5 de noviembre de 1995.
